game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,11,8,6,30,11,6,609.1
2,1002,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,13,4,10,35,13,2,837.533
3,1003,skids,complete,no_resolution,no_resolution,4,5,1,True,3,14,6,5,43,15,5,818.668
4,1004,agnes,complete,R3,R3,0,0,0,True,3,14,0,6,39,14,5,781.634
5,1005,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,14,5,6,39,13,2,809.178
6,1006,roland,complete,no_resolution,no_resolution,3,4,1,True,2,8,5,6,24,7,3,517.225
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,5,9,33,8,0,677.956
8,1008,skids,complete,R2,R2,6,6,0,False,3,10,2,2,32,10,3,584.55
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,12,7,9,35,14,3,871.292
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,4,3,31,7,1,666.46
11,1011,roland,complete,R3,R3,0,0,1,True,2,14,5,4,39,15,4,727.142
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,4,9,42,11,1,940.263
13,1013,skids,complete,R3,R3,0,0,0,True,1,13,3,3,37,12,2,785.662
14,1014,agnes,complete,R2,R2,6,6,0,False,3,11,3,6,33,11,4,845.898
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,1,1,40,10,0,879.34
16,1016,roland,complete,no_resolution,no_resolution,4,5,1,True,3,14,8,5,40,14,5,813.758
17,1017,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,5,10,41,12,3,796.43
18,1018,skids,complete,no_resolution,no_resolution,3,3,0,True,1,11,3,5,38,11,2,860.837
19,1019,agnes,complete,R2,R2,6,6,0,False,3,15,0,4,45,18,5,1104.874
20,1020,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,12,0,4,42,12,1,921.223
21,1021,roland,complete,R2,R2,7,7,0,False,4,11,6,2,33,11,5,600.627
22,1022,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,12,5,7,46,12,1,984.661
23,1023,skids,complete,no_resolution,no_resolution,3,4,1,True,2,14,8,5,43,14,5,978.499
24,1024,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,13,3,7,36,14,3,939.283
25,1025,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,1,5,40,11,0,750.588
26,1026,roland,complete,no_resolution,no_resolution,0,2,2,True,0,8,3,5,24,7,3,409.077
27,1027,daisy,complete,R2,R2,6,6,0,False,3,10,0,4,37,10,1,831.068
28,1028,skids,complete,no_resolution,no_resolution,2,3,1,True,1,9,6,6,28,8,0,532.142
29,1029,agnes,complete,no_resolution,no_resolution,5,5,0,True,3,14,3,3,42,16,4,686.11
30,1030,wendy,complete,R2,R2,6,6,0,False,3,10,1,4,28,10,3,549.015
