game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,10,5,5,30,10,4,726.32
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,5,8,41,15,4,1468.266
3,1003,skids,complete,no_resolution,no_resolution,0,1,1,True,1,11,5,6,36,11,2,1152.911
4,1004,agnes,complete,R3,R3,0,0,0,False,2,14,0,6,37,14,6,1264.276
5,1005,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,6,7,26,8,1,589.184
6,1006,roland,complete,R3,R3,0,0,1,False,3,14,6,4,39,16,8,1068.403
7,1007,daisy,complete,no_resolution,no_resolution,1,3,2,True,1,10,5,9,37,10,0,1235.502
8,1008,skids,complete,no_resolution,no_resolution,0,1,1,True,1,12,5,6,38,12,3,1391.218
9,1009,agnes,complete,R2,R2,8,8,0,False,5,16,0,4,48,17,5,1261.208
10,1010,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,5,5,35,11,0,988.147
