game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,7,3,5,19,6,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,5,34,14,3,1419.059
3,1003,skids,complete,no_resolution,no_resolution,1,2,1,True,0,3,6,6,10,2,0,334.571
4,1004,agnes,complete,R3,R3,0,0,0,True,2,14,4,5,38,14,6,1359.4
5,1005,wendy,complete,R1,R1,4,5,1,True,3,10,3,4,29,9,1,982.121
6,1006,roland,complete,no_resolution,no_resolution,0,2,2,True,0,4,3,5,12,3,0,728.3
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,8,30,11,0,1586.355
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,10,6,7,31,10,2,956.283
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,15,5,8,44,16,4,3103.917
10,1010,wendy,complete,no_resolution,no_resolution,1,2,1,True,0,8,7,5,27,7,1,1373.748
