game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,2,3,1,True,1,11,7,5,33,11,4,1252.241
2,1002,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,14,0,5,40,13,1,1766.091
3,1003,skids,complete,R1,R1,6,7,1,True,5,16,2,1,49,16,7,1444.472
4,1004,agnes,complete,no_resolution,no_resolution,7,8,1,True,6,17,5,7,48,18,10,1927.246
5,1005,wendy,complete,no_resolution,no_resolution,2,4,2,True,2,14,7,7,40,14,2,2277.46
6,1006,roland,complete,no_resolution,no_resolution,3,4,1,True,2,10,3,5,28,10,3,1500.753
7,1007,daisy,complete,no_resolution,no_resolution,2,4,2,True,2,11,5,9,42,11,1,1613.724
8,1008,skids,complete,no_resolution,no_resolution,3,4,1,True,2,16,3,5,47,15,4,1833.736
9,1009,agnes,complete,R2,R2,9,9,0,False,6,15,3,6,43,17,6,1495.737
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,9,1,0,33,8,1,938.45
