game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,R1,R1,7,8,1,True,6,13,7,4,39,13,8,601.778
2,1002,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,10,4,3,31,12,3,710.594
3,1003,skids,complete,no_resolution,no_resolution,3,4,1,True,2,13,8,3,43,16,6,549.151
4,1004,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,9,36,14,4,838.738
5,1005,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,3,2,33,11,0,537.059
6,1006,roland,complete,no_resolution,no_resolution,4,4,0,True,2,11,5,3,33,11,3,510.739
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,5,8,31,10,0,690.516
8,1008,skids,complete,no_resolution,no_resolution,3,3,0,True,1,7,1,4,25,6,2,422.02
9,1009,agnes,complete,R2,R2,8,8,0,False,5,10,3,6,27,12,3,654.43
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,1,0,38,10,0,998.611
11,1011,roland,complete,no_resolution,no_resolution,2,4,2,True,2,14,3,2,38,14,4,893.058
12,1012,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,11,3,8,40,11,2,753.011
13,1013,skids,complete,no_resolution,no_resolution,2,3,1,True,1,15,1,2,45,14,4,909.012
14,1014,agnes,complete,R2,R2,6,6,0,False,3,12,4,2,34,12,4,565.452
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,1,3,31,7,0,578.487
16,1016,roland,complete,no_resolution,no_resolution,2,3,1,True,1,13,3,5,39,13,6,810.155
17,1017,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,5,8,46,12,2,1017.049
18,1018,skids,complete,no_resolution,no_resolution,4,4,0,True,2,14,1,4,46,14,4,1133.143
19,1019,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,14,5,8,41,15,3,900.075
20,1020,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,13,3,6,36,12,1,1059.893
21,1021,roland,complete,R2,R2,7,7,0,False,4,12,4,2,36,12,4,740.586
22,1022,daisy,complete,R2,R2,6,6,0,False,3,9,2,6,32,8,1,899.596
23,1023,skids,complete,no_resolution,no_resolution,2,3,1,True,1,12,8,5,39,12,2,735.013
24,1024,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,12,2,8,36,13,4,1459.344
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,12,3,5,43,12,1,905.989
26,1026,roland,complete,no_resolution,no_resolution,3,4,1,True,2,12,6,5,36,12,5,1152.936
27,1027,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,10,3,8,38,10,1,641.169
28,1028,skids,complete,no_resolution,no_resolution,0,1,1,True,1,10,8,4,35,10,2,773.466
29,1029,agnes,complete,R2,R2,8,8,0,False,5,16,1,7,48,17,5,1083.977
30,1030,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,9,4,5,27,8,0,528.893
