game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,5,7,2,True,5,14,10,5,42,14,8,3033.63
2,1002,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,6,5,2,21,8,0,1626.197
3,1003,skids,complete,R1,R1,6,7,1,True,5,16,5,5,51,16,5,4858.641
4,1004,agnes,complete,no_resolution,no_resolution,3,5,2,True,3,12,7,9,34,13,4,3107.665
5,1005,wendy,complete,no_resolution,no_resolution,4,5,1,True,3,14,4,6,39,13,1,2562.048
6,1006,roland,complete,no_resolution,no_resolution,4,6,2,True,4,14,4,4,39,15,7,2957.101
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,3,9,18,7,0,1950.942
8,1008,skids,complete,no_resolution,no_resolution,3,4,1,True,2,13,8,5,38,13,2,3570.112
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,15,4,8,42,17,5,3673.753
10,1010,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,11,7,5,32,11,1,2359.35
