game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,1,2,1,True,0,4,2,6,9,3,0,128.837
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,7,0,9,22,7,1,356.213
3,1003,skids,complete,R3,R3,0,0,0,True,2,15,4,2,47,14,3,632.604
4,1004,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,15,4,7,42,16,6,594.661
5,1005,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,10,6,6,34,9,0,484.584
6,1006,roland,complete,no_resolution,no_resolution,3,4,1,True,2,9,7,5,27,12,6,390.343
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,6,8,28,7,0,431.59
8,1008,skids,complete,no_resolution,no_resolution,1,2,1,True,0,9,8,4,30,9,2,443.477
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,12,7,9,36,13,4,749.743
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,2,3,24,7,1,410.963
11,1011,roland,complete,no_resolution,no_resolution,1,2,1,True,0,6,2,5,18,5,0,280.995
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,4,9,47,12,1,640.183
13,1013,skids,complete,R3,R3,0,0,0,True,0,12,2,3,38,11,1,489.795
14,1014,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,15,5,9,45,16,4,535.734
15,1015,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,8,37,10,0,609.999
16,1016,roland,complete,no_resolution,no_resolution,1,2,1,True,0,9,5,5,25,9,4,343.378
17,1017,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,12,5,9,42,12,2,604.286
18,1018,skids,complete,no_resolution,no_resolution,0,1,1,True,1,6,1,6,19,5,1,290.899
19,1019,agnes,complete,R3,R3,0,0,0,True,2,14,4,7,39,14,4,599.541
20,1020,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,6,5,42,11,1,539.567
21,1021,roland,complete,R1,R1,4,5,1,True,3,11,5,4,32,11,6,431.949
22,1022,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,10,4,10,38,10,0,528.417
23,1023,skids,complete,no_resolution,no_resolution,0,0,1,True,0,10,6,6,35,10,1,450.123
24,1024,agnes,complete,R3,R3,0,0,0,True,3,14,2,5,38,14,3,546.304
25,1025,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,8,7,37,10,0,606.092
26,1026,roland,complete,no_resolution,no_resolution,1,2,1,True,0,9,3,5,26,8,2,365.197
27,1027,daisy,complete,R3,R3,0,0,0,True,1,12,4,1,38,13,2,501.976
28,1028,skids,complete,no_resolution,no_resolution,1,2,1,True,0,5,0,6,15,4,0,194.719
29,1029,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,18,3,8,52,18,5,654.361
30,1030,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,11,7,4,33,11,0,507.163
