game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,5,6,1,True,4,11,4,6,31,11,7,0.0
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,5,9,26,8,0,0.0
3,1003,skids,complete,R3,R3,0,0,0,True,2,14,0,5,41,13,4,0.0
4,1004,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,13,6,2,35,14,4,0.0
5,1005,wendy,complete,no_resolution,no_resolution,1,2,1,True,0,5,5,7,15,4,0,0.0
6,1006,roland,complete,no_resolution,no_resolution,4,5,1,True,3,13,4,6,39,13,5,0.0
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,6,7,30,8,0,0.0
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,8,2,6,24,7,2,0.0
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,11,3,8,32,12,3,0.0
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,6,8,27,8,1,0.0
