game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,2,3,1,True,1,7,2,5,19,6,3,596.234
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,5,7,30,11,2,720.128
3,1003,skids,complete,no_resolution,no_resolution,2,3,1,True,1,8,4,6,30,7,1,2022.878
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,13,5,8,38,14,4,1694.002
5,1005,wendy,complete,R3,R3,0,0,0,True,3,13,3,6,42,13,1,1925.194
6,1006,roland,complete,no_resolution,no_resolution,3,4,1,True,2,8,5,5,24,7,2,1134.27
7,1007,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,10,4,3,35,10,0,1955.078
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,8,0,6,24,8,1,2996.854
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,13,7,8,37,14,5,1088.232
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,7,6,30,8,0,2940.92
11,1011,roland,complete,no_resolution,no_resolution,2,3,1,True,1,8,7,6,23,10,4,912.949
12,1012,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,10,3,3,31,9,1,1846.038
13,1013,skids,complete,no_resolution,no_resolution,0,0,1,True,0,11,8,2,39,11,2,1974.341
14,1014,agnes,complete,R1,R1,4,5,1,True,3,10,2,3,29,10,3,1893.133
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,2,5,30,7,0,827.088
16,1016,roland,complete,no_resolution,no_resolution,3,4,1,True,2,14,5,3,42,14,7,1400.601
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,6,5,7,15,5,0,1219.022
18,1018,skids,complete,no_resolution,no_resolution,4,4,0,True,2,8,6,5,29,8,1,1332.655
19,1019,agnes,complete,R2,R2,6,6,0,False,3,15,1,5,40,15,4,4496.691
20,1020,wendy,complete,R1,R1,4,5,1,True,3,9,2,5,27,8,1,1629.833
21,1021,roland,complete,R2,R2,6,7,1,False,4,15,3,4,43,15,5,1380.813
22,1022,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,9,3,8,28,8,0,2453.976
23,1023,skids,complete,no_resolution,no_resolution,1,2,1,True,0,11,8,4,36,11,1,3313.719
24,1024,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,13,6,6,38,13,4,4114.338
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,0,1,32,7,0,1122.228
26,1026,roland,complete,no_resolution,no_resolution,1,3,2,True,1,10,3,5,29,10,3,1622.626
27,1027,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,10,5,4,36,13,3,2516.17
28,1028,skids,complete,no_resolution,no_resolution,2,3,1,True,1,7,5,7,24,6,0,593.162
29,1029,agnes,complete,no_resolution,no_resolution,5,5,0,True,3,17,4,6,51,19,5,3006.765
30,1030,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,9,6,2,35,8,1,2473.101
