game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,8,4,6,22,7,3,350.207
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,4,32,14,3,427.805
3,1003,skids,complete,R3,R3,0,0,0,True,2,15,7,5,51,14,2,565.127
4,1004,agnes,complete,R3,R3,0,0,0,True,2,14,4,7,37,14,5,976.705
5,1005,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,3,3,29,9,1,333.223
6,1006,roland,complete,no_resolution,no_resolution,3,3,0,True,1,8,4,4,24,7,2,194.858
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,6,5,34,11,0,338.472
8,1008,skids,complete,no_resolution,no_resolution,3,3,0,True,1,10,4,4,32,10,2,279.292
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,11,7,9,32,13,2,441.147
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,8,5,31,8,1,378.786
