game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,11,10,4,33,11,7,0.0
2,1002,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,11,3,9,32,12,1,0.0
3,1003,skids,complete,no_resolution,no_resolution,3,4,1,True,2,13,8,6,42,16,6,0.0
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,13,2,8,38,14,6,0.0
5,1005,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,13,1,1,39,13,3,0.0
6,1006,roland,complete,R2,R2,7,8,1,False,5,12,0,3,36,13,5,0.0
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,6,8,29,7,0,0.0
8,1008,skids,complete,no_resolution,no_resolution,0,1,1,True,1,13,2,3,37,13,2,0.0
9,1009,agnes,complete,R1,R1,6,7,1,True,5,14,0,7,41,15,6,0.0
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,9,3,5,26,8,1,0.0
11,1011,roland,complete,R2,R2,8,8,0,False,5,14,5,4,42,14,6,0.0
12,1012,daisy,complete,R2,R2,7,7,0,False,4,10,4,8,37,9,2,0.0
13,1013,skids,complete,R3,R3,0,0,0,True,0,18,3,5,56,18,6,0.0
14,1014,agnes,complete,R2,R2,9,9,0,False,6,16,1,6,47,16,6,414.477
15,1015,wendy,complete,R2,R2,7,7,0,False,4,11,1,2,41,11,1,0.0
16,1016,roland,complete,no_resolution,no_resolution,4,5,1,True,3,14,3,5,38,15,7,0.0
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,6,5,7,15,5,2,619.6
18,1018,skids,complete,R2,R2,7,7,0,False,4,12,0,4,40,12,1,1681.803
19,1019,agnes,complete,R2,R2,6,6,0,False,3,16,1,6,47,17,4,1549.581
20,1020,wendy,complete,R2,R2,6,6,0,False,3,12,1,3,40,12,1,1265.683
21,1021,roland,complete,R2,R2,8,8,0,False,5,15,5,2,44,15,6,1281.452
22,1022,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,12,5,8,42,13,2,1903.149
23,1023,skids,complete,R3,R3,0,0,0,True,0,13,6,3,38,12,2,2419.912
24,1024,agnes,complete,R3,R3,0,0,0,True,3,13,5,6,36,13,4,2245.917
25,1025,wendy,complete,R2,R2,7,7,0,False,4,12,5,4,46,12,1,1080.03
26,1026,roland,complete,no_resolution,no_resolution,1,3,2,True,1,11,7,5,31,11,3,4003.084
27,1027,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,13,4,7,45,12,1,2351.944
28,1028,skids,complete,no_resolution,no_resolution,2,3,1,True,1,11,0,6,35,11,1,1135.583
29,1029,agnes,complete,R2,R2,7,7,0,False,4,14,2,6,41,14,4,1197.752
30,1030,wendy,complete,R2,R2,7,7,0,False,4,13,3,5,43,13,1,1438.001
