game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,9,4,6,26,8,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,12,4,9,42,12,1,0.0
3,1003,skids,complete,R3,R3,0,0,0,True,1,14,2,2,41,16,5,719.255
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,10,7,6,30,10,4,758.88
5,1005,wendy,complete,no_resolution,no_resolution,1,2,1,True,0,8,6,7,25,7,0,810.601
6,1006,roland,complete,no_resolution,no_resolution,5,6,1,True,4,16,4,5,45,16,5,1408.11
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,9,36,10,0,1945.676
8,1008,skids,complete,no_resolution,no_resolution,1,2,1,True,0,11,6,6,36,11,3,944.877
9,1009,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,10,2,8,27,11,2,892.961
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,7,31,10,1,1315.453
