game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,9,5,5,27,8,3,1712.438
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,6,7,24,8,0,2061.974
3,1003,skids,complete,no_resolution,no_resolution,2,3,1,True,1,10,2,6,33,9,2,1908.496
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,10,7,6,28,10,4,2071.151
5,1005,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,12,7,7,35,12,1,1980.994
6,1006,roland,complete,no_resolution,no_resolution,5,6,1,True,4,15,7,6,43,15,5,2079.388
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,6,6,35,10,0,2789.845
8,1008,skids,complete,no_resolution,no_resolution,1,1,0,True,1,11,5,5,36,11,3,3577.675
9,1009,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,10,1,10,27,11,1,1784.761
10,1010,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,10,4,4,30,10,1,1260.525
11,1011,roland,complete,no_resolution,no_resolution,1,2,1,True,0,6,2,5,18,5,1,1591.174
12,1012,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,10,5,9,32,9,1,1168.391
13,1013,skids,complete,no_resolution,no_resolution,3,3,0,True,1,12,7,5,38,12,1,2344.73
14,1014,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,12,2,9,33,12,4,1554.777
15,1015,wendy,complete,R1,R1,4,5,1,True,3,10,0,3,33,10,1,835.066
16,1016,roland,complete,R1,R1,4,6,2,True,4,13,0,2,39,13,7,742.177
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,12,5,9,44,12,1,950.828
18,1018,skids,complete,no_resolution,no_resolution,3,3,0,True,1,10,4,5,31,10,1,560.711
19,1019,agnes,complete,no_resolution,no_resolution,4,4,0,True,2,16,4,6,46,16,4,1106.542
20,1020,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,9,1,3,31,8,0,406.649
21,1021,roland,complete,no_resolution,no_resolution,2,3,1,True,1,10,7,5,29,9,3,679.196
22,1022,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,9,4,8,34,8,0,603.687
23,1023,skids,complete,no_resolution,no_resolution,0,1,1,True,1,10,8,4,33,10,1,989.976
24,1024,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,12,5,8,36,12,4,2089.664
25,1025,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,7,3,2,25,6,0,500.575
26,1026,roland,complete,no_resolution,no_resolution,3,4,1,True,2,11,1,3,30,11,4,519.545
27,1027,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,8,5,6,27,7,0,641.066
28,1028,skids,complete,no_resolution,no_resolution,1,2,1,True,0,8,1,6,22,7,0,391.499
29,1029,agnes,complete,R1,R1,4,5,1,True,3,10,0,2,29,10,3,499.495
30,1030,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,6,4,32,11,0,707.398
